NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Aarón Martín,33,2161,0.04,0.05,-0.01,0.46,0.17,9.09%,0.12,8.54,88.7,10.4,3.62,24.8,0.3,0.04,0.00,0.17,0.00,43,10,79,11,46,146,83,56.8%,30,9,30.0%,30.69,24.20,78.8%,9.58,6.50,67.8%,3.42,0.87,25.6%,0.12
Abdou Harroui,23,906,0.10,0.12,-0.02,1.19,0.20,8.33%,0.10,11.13,137.4,12.4,6.85,92.4,1.3,0.20,0.00,0.30,0.00,27,1,47,5,8,94,39,41.5%,16,1,6.3%,35.86,29.30,81.7%,12.12,9.04,74.6%,1.69,0.30,17.6%,0.20
Abdoulaye Ndiaye,11,780,0.00,0.08,-0.08,0.69,0.00,0.00%,0.11,9.92,86.0,8.7,3.35,31.5,1.1,0.00,0.00,0.00,0.00,16,12,27,3,44,50,29,58.0%,45,24,53.3%,48.92,41.08,84.0%,5.42,2.31,42.5%,0.00,0.00,0.0%,0.00
Adam Buksa,25,911,0.30,0.21,0.09,1.19,0.59,25.00%,0.18,3.95,49.0,12.4,1.88,24.9,1.3,0.30,0.20,0.30,0.00,10,2,20,0,12,71,26,36.6%,99,54,54.5%,17.88,10.87,60.8%,7.80,4.25,54.4%,0.20,0.10,50.0%,0.00
Adam Marusic,33,2783,0.03,0.05,-0.01,0.52,0.23,6.25%,0.09,7.83,79.6,10.2,5.08,45.7,0.3,0.13,0.00,0.06,0.00,35,33,88,11,65,109,58,53.2%,65,31,47.7%,49.61,43.17,87.0%,10.32,8.02,77.7%,1.10,0.16,14.7%,0.03
Adam Obert,35,2782,0.00,0.05,-0.05,0.32,0.10,0.00%,0.14,7.08,74.9,10.6,4.11,43.9,0.3,0.06,0.00,0.10,0.03,68,42,127,18,113,175,97,55.4%,65,31,47.7%,39.11,31.96,81.7%,7.05,4.76,67.4%,1.42,0.32,22.7%,0.03
Ademola Lookman,12,797,0.23,0.30,-0.08,3.05,0.90,7.41%,0.10,12.87,146.5,11.4,7.68,77.6,1.1,1.24,0.00,0.90,0.00,5,3,24,0,0,64,28,43.8%,6,3,50.0%,27.10,21.57,79.6%,13.44,10.28,76.5%,1.69,0.45,26.7%,0.23
Adrian Benedyczak,14,486,0.19,0.27,-0.08,1.48,0.56,12.50%,0.18,3.70,32.2,8.7,1.85,11.0,1.1,0.00,0.00,0.00,0.00,6,0,9,1,8,25,10,40.0%,44,21,47.7%,17.78,13.15,74.0%,8.52,6.11,71.7%,1.85,0.37,20.0%,0.00
Adrien Rabiot,29,2550,0.21,0.15,0.06,1.62,0.42,13.04%,0.09,15.64,172.6,11.0,8.33,82.3,0.3,0.35,0.07,0.28,0.04,57,21,150,5,41,236,129,54.7%,72,44,61.1%,46.52,39.81,85.6%,15.60,11.89,76.2%,2.12,0.56,26.7%,0.14
Adrien Tamèze,24,1118,0.00,0.02,-0.02,0.40,0.00,0.00%,0.05,8.61,95.4,11.1,4.51,50.0,0.9,0.08,0.00,0.16,0.00,15,20,58,5,36,52,22,42.3%,36,19,52.8%,41.30,33.25,80.5%,10.14,6.84,67.5%,1.13,0.16,14.3%,0.00
